articulo,marca,nombre,descripcion_lp,talles,curva,precio_excel,match,score,en_sitio,sitio_nombre,sitio_sku,sitio_imagen,sitio_descripcion_corta,sitio_precio,sitio_url
8087,BOYS,Jogging Frisa PST Boys,Jogging Frisa PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,Jogging de Frisa con Cintura Ajustable Liso,8087%Azul,https://magicstore.com.ar/wp-content/uploads/2025/03/Diseno-sin-titulo-1-1.webp,"Jogging de frisa con cintura ajustable y diseño liso, ideal para los más chicos que buscan comodidad y estilo. Su material suave de frisa brinda calidez y confort, mientras que la cintura ajustable asegura un ajuste perfecto. Perfecto para combinar con buzos, remeras o chaquetas, creando un look casual y cómodo para niños.",32999,https://magicstore.com.ar/jogging-de-frisa-con-cintura-ajustable-liso/
8088,BOYS,Jogging Rustico PST Boys,Jogging Rustico PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,Jogging rústico niño &#8211; POSTO,8088-verde,https://magicstore.com.ar/wp-content/uploads/2025/08/jogging-rustico.jpg,"Jogging rústico verde unisex, confeccionado en algodón suave con cintura elástica y cordón ajustable para mayor comodidad. Incluye bolsillos laterales y puños elastizados en los tobillos, ideal para uso diario, deportes o relax. Diseño versátil y cómodo para todas las edades.",32999,https://magicstore.com.ar/jogging-rustico-nino-posto/
43048,GIRLS,Buzo capucha PST Girls,Buzo capucha PST Girls,4-6-8-10-12-14-16,1 X TALLE,14990,sku,1.00,si,Buzo Hoodie de Plush,43048-rosa,https://magicstore.com.ar/wp-content/uploads/2026/04/teens10-4.webp,"¡El abrigo ideal para los días más frescos! Este buzo hoodie de plush combina la suavidad extrema con un diseño moderno que a las chicas les encanta. Es una prenda versátil, perfecta tanto para ir al colegio como para un paseo de fin de semana, asegurando que estén abrigadas sin perder el estilo. Características del Producto: Material Premium: Confeccionado en plush de alta calidad, suave al tacto y muy resistente al uso diario. Diseño Funcional: Incluye capucha forrada en contratono y un práctico bolsillo canguro frontal para mantener las manos calentitas. Ajuste Perfecto: Posee puños y cintura elásticos que mantienen la temperatura corporal y brindan libertad de movimiento. Detalles: Cordones decorativos en la capucha que le dan un toque canchero y urbano.",32999,https://magicstore.com.ar/buzo-hoodie-de-plush-2/
43204,GIRLS,Buzo CR PST Girls,Buzo CR PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,BUZO BASIC,43204-celeste,https://magicstore.com.ar/wp-content/uploads/2026/04/43204-1.jpg,"Buzo de frisa con recortes, liso. Confeccionado en material suave y abrigado, ideal para el día a día. Diseño sencillo y cómodo, disponible en varias tallas y colores.",32999,https://magicstore.com.ar/buzo-basic-4/
43212,GIRLS,Buzo capucha PST Girls,Buzo capucha PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,19990,sku,1.00,si,BUZO CANGURO,43212,https://magicstore.com.ar/wp-content/uploads/2025/03/magic-149.webp,"Buzo de frisa con capucha forrada, liso. Confeccionado en material suave y abrigado, perfecto para los días fríos. Diseño sencillo y cómodo, disponible en varias tallas y colores.",43999,https://magicstore.com.ar/buzo-canguro/
43367,GIRLS,Campera PST Girls,Campera PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,17990,sku,1.00,si,Campera de Algodón con Capucha,43367-rojo,https://magicstore.com.ar/wp-content/uploads/2026/04/t4.webp,"¡La aliada ideal para todos los días! Nuestra campera de algodón con capucha combina comodidad y estilo para que los más chicos jueguen sin límites. Está confeccionada con un tejido suave al tacto y resistente a los lavados, ideal para la escuela, el club o una salida de fin de semana. Comodidad total: Corte estándar que permite libertad de movimiento. Detalles funcionales: Cierre frontal reforzado, bolsillos tipo canguro y cordones ajustables en la capucha.",39999,https://magicstore.com.ar/campera-de-algodon-con-capucha-5/
43459,GIRLS,Calza frisada PST Girls,Calza frisada PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,7990,sku,1.00,si,Calza frisada,43459-negro,https://magicstore.com.ar/wp-content/uploads/2026/04/t1-4.webp,"¡Que el frío no los detenga! Nuestra calza de frisa negra es la solución ideal para mantener a los más chicos abrigados durante todo el invierno. Está confeccionada con una frisa suave y pesada que mantiene el calor corporal sin perder la flexibilidad necesaria para jugar. Interior Soft: Friza premium que brinda una sensación de suavidad única al contacto con la piel. Ideal para el Cole: Por su color y resistencia, es la prenda favorita para el uniforme escolar o gimnasia en días de bajas temperaturas. Resistente: No se hace «pelotita» (anti-pilling) y mantiene el color negro intenso lavado tras lavado.",19500,https://magicstore.com.ar/calza-frisada/
43517,GIRLS,Jogging c/Bols Cargo PST Girls,Jogging c/Bols Cargo PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,17500,sku,1.00,si,JOGGING CARGO,43517-1,https://magicstore.com.ar/wp-content/uploads/2025/03/magik-2304944.webp,"Jogging cargo de rústico con cordón de lurex, liso. Confeccionado en material cómodo y resistente, ideal para un look casual y cómodo. Disponible en varias tallas y colores.",38500,https://magicstore.com.ar/jogging-cargo-2/
43931,GIRLS,Jogging frisa PST Girls,Jogging frisa PST Girls,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,fuzzy,0.50,si,Jogging de Frisa,50089,https://magicstore.com.ar/wp-content/uploads/2025/05/posto-web-1.webp,"Comodidad total para todos los días. Este jogging está confeccionado en frisa suave y abrigada, ideal para los días frescos. Tiene cintura con elástico interno, bolsillos laterales y puños embutidos que le dan un calce moderno y prolijo.",35500,https://magicstore.com.ar/jogging-de-frisa/
50000,BOYS,Remera MC PST Boys,Remera MC PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,4990,sku,1.00,si,Remera de Algodón Lisa,50000leste,https://magicstore.com.ar/wp-content/uploads/2025/03/magic-325.jpg,"Remera de algodón lisa, perfecta para ofrecer comodidad y frescura durante todo el día. Su material suave y ligero es ideal para el día a día, brindando un look casual y versátil que se adapta a cualquier ocasión. Fácil de combinar con pantalones, shorts o jeans, convirtiéndola en una prenda esencial en el armario de los más chicos.",11999,https://magicstore.com.ar/remera-de-algodon-lisa-2/
